macro_code;pit_date;pit_index;pit_value;time_series_value
gdp_growth;2010-12-31;59.0;0.019;0.019
hicp;2010-12-31;;92.23;-0.0025954363577375896
hpi;2010-12-31;63.0;1.121;-0.011463844797178043
inflation;2010-12-31;167.0;0.018;0.018
unemployment_rate;2010-12-31;40.0;0.05;0.05
hicp;2011-01-31;;92.01;-0.0023853409953377303
inflation;2011-01-31;168.0;0.019;0.019
hicp;2011-02-28;;92.93;0.009998913161612886
inflation;2011-02-28;169.0;0.02;0.02
gdp_growth;2011-03-31;60.0;0.028;0.028
hicp;2011-03-31;;94.2;0.013666200365866738
hpi;2011-03-31;64.0;1.115;-0.005352363960749336
inflation;2011-03-31;170.0;0.018;0.018
hicp;2011-04-30;;94.77;0.006050955414012666
inflation;2011-04-30;171.0;0.021;0.021
hicp;2011-05-31;;94.84;0.0007386303682600759
inflation;2011-05-31;172.0;0.023;0.023
gdp_growth;2011-06-30;61.0;0.021;0.021
hicp;2011-06-30;;94.23;-0.0064318852804723685
hpi;2011-06-30;65.0;1.11;-0.0044843049327353305
inflation;2011-06-30;173.0;0.023;0.023
hicp;2011-07-31;;94.54;0.0032898227740634856
inflation;2011-07-31;174.0;0.032;0.032
hicp;2011-08-31;;94.65;0.001163528665115289
inflation;2011-08-31;175.0;0.032;0.032
gdp_growth;2011-09-30;62.0;0.014;0.014
hicp;2011-09-30;;95.12;0.004965662968832529
hpi;2011-09-30;66.0;1.102;-0.007207207207207213
inflation;2011-09-30;176.0;0.03;0.03
hicp;2011-10-31;;95.22;0.0010513036164843809
inflation;2011-10-31;177.0;0.028;0.028
hicp;2011-11-30;;94.84;-0.003990758244066325
inflation;2011-11-30;178.0;0.026;0.026
gdp_growth;2011-12-31;63.0;0.0;0.0
hicp;2011-12-31;;94.54;-0.0031632222690847443
hpi;2011-12-31;67.0;1.083;-0.017241379310344942
inflation;2011-12-31;179.0;0.025;0.025
unemployment_rate;2011-12-31;41.0;0.05;0.05
hicp;2012-01-31;;94.66;0.0012693039983074923
inflation;2012-01-31;180.0;0.029;0.029
hicp;2012-02-29;;95.6;0.00993027678005491
